geoid,name,smr_no,smr_gld,smr_slv,smr_brz,smr_tot,wtr_no,wtr_gld,wtr_slv,wtr_brz,wtr_tot,tot_no,tot_gld,tot_slv,tot_brz,tot_tot,tot_98,alt_98,gdp_1998,tot_00,alt_00,gdp_2000,tot_02,alt_02,gdp_2002,tot_04,alt_04,gdp_2004,tot_06,alt_06,gdp_2006,tot_08,alt_08,gdp_2008,tot_10,alt_10,gdp_2010,tot_12,alt_12,gdp_2012,tot_14,alt_14,gdp_2014,tot_16,alt_16,gdp_2016
AZE,Azerbaijan,6,7,11,25,43,6,0,0,0,0,12,7,11,25,43,NA,NA,562,3,7,655,NA,NA,763,5,7,1045,NA,NA,2473,7,11,5575,NA,NA,5843,10,16,7496,NA,NA,7891,18,27,3879
EST,Estonia,12,9,9,16,34,10,4,2,1,7,22,13,11,17,41,NA,NA,4052,3,5,4070,3,6,5308,3,4,8850,3,9,12595,2,5,18095,1,2,14639,2,3,17422,NA,NA,19950,1,1,17737
SVN,Slovenia,7,5,8,10,23,8,2,5,10,17,15,7,13,20,40,NA,NA,11165,2,6,10228,1,1,11814,3,4,17261,NA,NA,19726,4,7,27502,3,5,23437,4,7,22532,8,14,24202,4,8,21650
SVK,Slovakia,6,9,12,7,28,7,3,4,1,8,13,12,16,8,36,NA,NA,5534,5,10,5403,NA,NA,6525,6,12,10655,1,2,13139,6,14,18650,3,6,16601,4,5,17275,1,3,18630,4,10,16530
THA,Thailand,16,9,8,16,33,4,0,0,0,0,20,9,8,16,33,NA,NA,1845,3,5,2008,NA,NA,2096,8,15,2660,NA,NA,3369,4,10,4379,NA,NA,5075,4,6,5860,NA,NA,5942,6,12,5911
GEO,Georgia,6,8,8,17,33,7,0,0,0,0,13,8,8,17,33,NA,NA,805,6,6,692,NA,NA,779,4,10,1207,NA,NA,1873,6,12,3175,NA,NA,2964,7,12,4143,NA,NA,4430,7,12,3866
EGY,Egypt,22,7,10,15,32,1,0,0,0,0,23,7,10,15,32,NA,NA,1259,NA,NA,1428,NA,NA,1210,5,8,1046,NA,NA,1375,1,1,2011,NA,NA,2602,4,7,3181,NA,NA,3328,3,3,3478
IDN,Indonesia,15,7,13,12,32,0,0,0,0,0,15,7,13,12,32,NA,NA,494,6,11,831,NA,NA,958,4,7,1223,NA,NA,1689,5,8,2300,NA,NA,3113,3,5,3688,NA,NA,3492,3,7,3570
UZB,Uzbekistan,6,8,6,17,31,7,1,0,0,1,13,9,6,17,32,NA,NA,623,4,7,558,NA,NA,383,5,10,465,NA,NA,654,6,10,1082,NA,NA,1377,3,5,1740,NA,NA,2050,13,23,2111
IRL,Ireland,21,9,10,12,31,7,0,0,0,0,28,9,10,12,31,NA,NA,24263,1,2,26242,NA,NA,32540,NA,NA,47631,NA,NA,54307,3,4,61258,NA,NA,48672,6,9,49177,NA,NA,55899,2,4,64175
IND,India,24,9,7,12,28,10,0,0,0,0,34,9,7,12,28,NA,NA,409,1,1,439,NA,NA,466,1,2,621,NA,NA,792,3,5,991,NA,NA,1346,6,8,1447,NA,NA,1573,2,3,1710
COL,Colombia,19,5,9,14,28,2,0,0,0,0,21,5,9,14,28,NA,NA,2509,1,3,2472,NA,NA,2356,2,2,2740,NA,NA,3709,2,3,5434,NA,NA,6251,8,13,7885,NA,NA,7913,8,16,5806
LVA,Latvia,11,3,11,5,19,11,0,4,4,8,22,3,15,9,27,NA,NA,2977,3,6,3353,NA,NA,4132,4,8,6351,1,1,9668,2,5,16349,2,4,11326,2,4,13823,4,6,15759,NA,NA,14071
MNG,Mongolia,13,2,10,14,26,14,0,0,0,0,27,2,10,14,26,NA,NA,477,NA,NA,474,NA,NA,572,1,1,798,NA,NA,1335,4,10,2140,NA,NA,2650,5,7,4368,NA,NA,4182,2,3,3694
LTU,Lithuania,9,6,7,12,25,9,0,0,0,0,18,6,7,12,25,NA,NA,3167,5,9,3297,NA,NA,4147,3,7,6707,NA,NA,9241,4,5,14962,NA,NA,11985,5,10,14341,NA,NA,16555,4,5,14901
NGA,Nigeria,16,3,10,12,25,1,0,0,0,0,17,3,10,12,25,NA,NA,275,3,6,379,NA,NA,459,2,2,649,NA,NA,1020,4,5,1384,NA,NA,2327,NA,NA,2755,NA,NA,3222,1,1,2176
PRT,Portugal,24,4,8,12,24,8,0,0,0,0,32,4,8,12,24,NA,NA,12203,2,2,11502,NA,NA,12882,3,5,18046,NA,NA,19821,2,5,24816,NA,NA,22539,1,2,20577,NA,NA,22078,1,1,19838
